pkt_count,total_bytes,duration_s,pps,bps,iat_mean,iat_std,iat_min,iat_max,iat_cv,pkt_size_mean,pkt_size_std,pkt_size_min,pkt_size_max,payload_mean,payload_std,payload_max,syn_ratio,ack_ratio,fin_ratio,rst_ratio,psh_ratio,syn_ack_ratio,bytes_per_pkt,tls_port,label
41,6449,16.319966,2.5123,395.1601,0.407999,0.868678,0.0,3.615602,2.1291,157.2927,241.4271,54,1514,102.4146,241.7791,1460,0.0732,0.9512,0.0244,0.0488,0.5366,0.0769,157.2927,1,normal
30,5289,13.33192,2.2502,396.717,0.459721,1.029453,0.0,3.63374,2.2393,176.3,275.6116,54,1514,121.5,275.9478,1460,0.0667,0.9667,0.0333,0.0333,0.5333,0.069,176.3,1,normal
39,5755,21.163517,1.8428,271.9302,0.556935,1.154788,0.0,3.783539,2.0735,147.5641,240.9916,54,1514,92.9487,241.2143,1460,0.0513,0.9744,0.0256,0.0256,0.5641,0.0526,147.5641,1,normal
33,5395,8.647038,3.8163,623.9131,0.27022,0.650054,0.0,2.850065,2.4056,163.4848,262.2538,54,1514,108.7576,262.5396,1460,0.0606,0.9697,0.0303,0.0303,0.5455,0.0625,163.4848,1,normal
39,6334,18.070253,2.1582,350.5208,0.475533,0.973195,0.0,3.577708,2.0465,162.4103,246.5051,54,1514,107.7949,246.7598,1460,0.0513,0.9744,0.0256,0.0256,0.5641,0.0526,162.4103,1,normal
24,4549,5.364421,4.4739,847.9946,0.233236,0.646592,0.0,2.861954,2.7723,189.5417,302.678,54,1514,134.5417,303.1041,1460,0.0833,0.9583,0.0417,0.0417,0.5,0.087,189.5417,1,normal
33,5163,14.189973,2.3256,363.8485,0.443437,1.018742,0.0,3.859675,2.2974,156.4545,260.4245,54,1514,101.7273,260.6927,1460,0.0606,0.9697,0.0303,0.0303,0.5455,0.0625,156.4545,1,normal
27,4837,10.069653,2.6813,480.3542,0.387294,0.903564,0.0,2.84049,2.333,179.1481,287.1612,54,1514,124.2593,287.5284,1460,0.0741,0.963,0.037,0.037,0.5185,0.0769,179.1481,1,normal
33,5167,12.281769,2.6869,420.7049,0.383805,0.823677,0.0,2.889815,2.1461,156.5758,260.4154,54,1514,101.8485,260.684,1460,0.0606,0.9697,0.0303,0.0303,0.5455,0.0625,156.5758,1,normal
21,4071,5.00325,4.1973,813.6711,0.250162,0.838802,0.0,3.77208,3.353,193.8571,319.665,54,1514,138.7143,320.1412,1460,0.0952,0.9524,0.0476,0.0476,0.4762,0.1,193.8571,1,normal
36,5637,13.247571,2.7175,425.512,0.378502,0.899923,0.0,3.510918,2.3776,156.5833,252.1028,54,1514,101.9167,252.3572,1460,0.0556,0.9722,0.0278,0.0278,0.5556,0.0571,156.5833,1,normal
39,6752,20.291188,1.922,332.7553,0.533979,1.044019,0.0,3.390152,1.9552,173.1282,249.5181,54,1514,118.5128,249.7962,1460,0.0513,0.9744,0.0256,0.0256,0.5641,0.0526,173.1282,1,normal
